<p>
BTHO0397-00000004	신경학	신경학/NNG
BTHO0397-00000038	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000039	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000040	임상	임상/NNG
BTHO0397-00000041	신경학에는	신경학/NNG + 에/JKB + 는/JX
BTHO0397-00000042	소아	소아/NNG
BTHO0397-00000043	신경학,	신경학/NNG + ,/SP
BTHO0397-00000044	신경안과학,	신경/NNG + 안/NNG + 과학/NNG + ,/SP
BTHO0397-00000045	신경이과학,	신경/NNG + 이/NNG + 과학/NNG + ,/SP
BTHO0397-00000046	신경면역학	신경/NNG + 면역학/NNG
BTHO0397-00000047	및	및/MAG
BTHO0397-00000048	신경방사선학	신경/NNG + 방사선학/NNG
BTHO0397-00000049	등이	등/NNB + 이/JKS
BTHO0397-00000050	포함된다.	포함/NNG + 되/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000051	또한	또한/MAG
BTHO0397-00000052	신경학은	신경학/NNG + 은/JX
BTHO0397-00000053	신경해부학,	신경/NNG + 해부학/NNG + ,/SP
BTHO0397-00000054	신경생리학,	신경/NNG + 생리학/NNG + ,/SP
BTHO0397-00000055	신경병리학	신경/NNG + 병리학/NNG
BTHO0397-00000056	및	및/MAG
BTHO0397-00000057	신경약리학	신경/NNG + 약리학/NNG
BTHO0397-00000058	등을	등/NNB + 을/JKO
BTHO0397-00000059	기본으로	기본/NNG + 으로/JKB
BTHO0397-00000060	하는	하/VV + 는/ETM
BTHO0397-00000061	신경과학	신경/NNG + 과학/NNG
BTHO0397-00000062	(Neu'roscience)	(/SS + Neu/SL + '/SW + roscience/SL + )/SS
BTHO0397-00000063	분야에	분야/NNG + 에/JKB
BTHO0397-00000064	있어서	있/VV + 어서/EC
BTHO0397-00000065	중추적	중추/NNG + 적/XSN
BTHO0397-00000066	역할을	역할/NNG + 을/JKO
BTHO0397-00000067	담당하고	담당/NNG + 하/XSV + 고/EC
BTHO0397-00000068	연관을	연관/NNG + 을/JKO
BTHO0397-00000069	맺고	맺/VV + 고/EC
BTHO0397-00000070	있으며,	있/VX + 으며/EC + ,/SP
BTHO0397-00000071	한편	한편/MAG
BTHO0397-00000072	임상에서는	임상/NNG + 에서/JKB + 는/JX
BTHO0397-00000073	인접	인접/NNG
BTHO0397-00000074	분야인	분야/NNG + 이/VCP + ᆫ/ETM
BTHO0397-00000075	내과학,	내과학/NNG + ,/SP
BTHO0397-00000076	정신의학,	정신/NNG + 의학/NNG + ,/SP
BTHO0397-00000077	재활의학	재활/NNG + 의학/NNG
BTHO0397-00000078	및	및/MAG
BTHO0397-00000079	신경외과학	신경외과학/NNG
BTHO0397-00000080	등과	등/NNB + 과/JKB
BTHO0397-00000081	일부	일부/NNG
BTHO0397-00000082	영역들을	영역/NNG + 들/XSN + 을/JKO
BTHO0397-00000083	공유하거나	공유/NNG + 하/XSV + 거나/EC
BTHO0397-00000084	혹은	혹은/MAG
BTHO0397-00000085	포함하여	포함/NNG + 하/XSV + 아/EC
BTHO0397-00000086	신경계의	신경/NNG + 계/XSN + 의/JKG
BTHO0397-00000087	모든	모든/MM
BTHO0397-00000088	질환들을	질환/NNG + 들/XSN + 을/JKO
BTHO0397-00000089	다루는	다루/VV + 는/ETM
BTHO0397-00000090	임상의학이라고	임상/NNG + 의학/NNG + 이/VCP + 라고/EC
BTHO0397-00000091	말할	말/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00000092	수	수/NNB
BTHO0397-00000093	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00000094	모든	모든/MM
BTHO0397-00000095	생물은	생물/NNG + 은/JX
BTHO0397-00000096	생체에	생체/NNG + 에/JKB
BTHO0397-00000097	관한	관하/VV + ᆫ/ETM
BTHO0397-00000098	외부	외부/NNG
BTHO0397-00000099	자극에	자극/NNG + 에/JKB
BTHO0397-00000100	반응하는	반응/NNG + 하/XSV + 는/ETM
BTHO0397-00000101	과정이	과정/NNG + 이/JKS
BTHO0397-00000102	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00000103	고등동물에서는	고등/NNG + 동물/NNG + 에서/JKB + 는/JX
BTHO0397-00000104	이런	이런/MM
BTHO0397-00000105	과정을	과정/NNG + 을/JKO
BTHO0397-00000106	수행하는	수행/NNG + 하/XSV + 는/ETM
BTHO0397-00000107	세포	세포/NNG
BTHO0397-00000108	집단이	집단/NNG + 이/JKS
BTHO0397-00000109	월등히	월등히/MAG
BTHO0397-00000110	발달되어	발달/NNG + 되/XSV + 어/EC
BTHO0397-00000111	있는데,	있/VX + 는데/EC + ,/SP
BTHO0397-00000112	흔히	흔히/MAG
BTHO0397-00000113	조직학적	조직학/NNG + 적/XSN
BTHO0397-00000114	관점에서	관점/NNG + 에서/JKB
BTHO0397-00000115	다른	다른/MM
BTHO0397-00000116	조직들과는	조직/NNG + 들/XSN + 과/JKB + 는/JX
BTHO0397-00000117	다른	다른/MM
BTHO0397-00000118	특수한	특수/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00000119	세포	세포/NNG
BTHO0397-00000120	집단으로	집단/NNG + 으로/JKB
BTHO0397-00000121	구분하며,	구분/NNG + 하/XSV + 며/EC + ,/SP
BTHO0397-00000122	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000123	계통을	계통/NNG + 을/JKO
BTHO0397-00000124	신경계라고	신경/NNG + 계/XSN + 이/VCP + 라고/EC
BTHO0397-00000125	부른다.	부르/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000126	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000127	신경계의	신경/NNG + 계/XSN + 의/JKG
BTHO0397-00000128	기본	기본/NNG
BTHO0397-00000129	기능은	기능/NNG + 은/JX
BTHO0397-00000130	수용기에서	수용기/NNG + 에서/JKB
BTHO0397-00000131	자극을	자극/NNG + 을/JKO
BTHO0397-00000132	받아	받/VV + 아/EC
BTHO0397-00000133	효과기에서	효과기/NNG + 에서/JKB
BTHO0397-00000134	반응을	반응/NNG + 을/JKO
BTHO0397-00000135	일으키는	일으키/VV + 는/ETM
BTHO0397-00000136	기능을	기능/NNG + 을/JKO
BTHO0397-00000137	의미하며,	의미/NNG + 하/XSV + 며/EC + ,/SP
BTHO0397-00000138	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000139	전달	전달/NNG
BTHO0397-00000140	및	및/MAG
BTHO0397-00000141	통정	통정/NNG
BTHO0397-00000142	기능의	기능/NNG + 의/JKG
BTHO0397-00000143	기본단위는	기본/NNG + 단위/NNG + 는/JX
BTHO0397-00000144	신경	신경/NNG
BTHO0397-00000145	세포들이	세포/NNG + 들/XSN + 이/JKS
BTHO0397-00000146	담당한다.	담당/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000147	흔히	흔히/MAG
BTHO0397-00000148	인간을	인간/NNG + 을/JKO
BTHO0397-00000149	포함한	포함/NNG + 하/XSV + ᆫ/ETM
BTHO0397-00000150	고등	고등/NNG
BTHO0397-00000151	척추	척추/NNG
BTHO0397-00000152	동물에서는	동물/NNG + 에서/JKB + 는/JX
BTHO0397-00000153	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000154	신경계를	신경/NNG + 계/XSN + 를/JKO
BTHO0397-00000155	해부학적	해부학/NNG + 적/XSN
BTHO0397-00000156	관점에서	관점/NNG + 에서/JKB
BTHO0397-00000157	중추	중추/NNG
BTHO0397-00000158	신경계와	신경/NNG + 계/XSN + 와/JC
BTHO0397-00000159	말초	말초/NNG
BTHO0397-00000160	신경계로	신경/NNG + 계/XSN + 로/JKB
BTHO0397-00000161	구분을	구분/NNG + 을/JKO
BTHO0397-00000162	하며,	하/VV + 며/EC + ,/SP
BTHO0397-00000163	생리학적	생리학/NNG + 적/XSN
BTHO0397-00000164	관점에서는	관점/NNG + 에서/JKB + 는/JX
BTHO0397-00000165	체성	체성/NNG
BTHO0397-00000166	신경계와	신경/NNG + 계/XSN + 와/JC
BTHO0397-00000167	자율	자율/NNG
BTHO0397-00000168	신경계로	신경/NNG + 계/XSN + 로/JKB
BTHO0397-00000169	대별한다.	대별/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000170	한편	한편/MAG
BTHO0397-00000171	계통	계통/NNG
BTHO0397-00000172	발생학적으로	발생학/NNG + 적/XSN + 으로/JKB
BTHO0397-00000173	볼	보/VV + ᆯ/ETM
BTHO0397-00000174	때,	때/NNG + ,/SP
BTHO0397-00000175	인간의	인간/NNG + 의/JKG
BTHO0397-00000176	중추	중추/NNG
BTHO0397-00000177	신경계는	신경/NNG + 계/XSN + 는/JX
BTHO0397-00000178	형태학적으로	형태학/NNG + 적/XSN + 으로/JKB
BTHO0397-00000179	임신	임신/NNG
BTHO0397-00000180	4주부터	4/SN + 주/NNB + 부터/JX
BTHO0397-00000181	신경	신경/NNG
BTHO0397-00000182	관에서	관/NNG + 에서/JKB
BTHO0397-00000183	분화되며	분화/NNG + 되/XSV + 며/EC
BTHO0397-00000184	뇌	뇌/NNG
BTHO0397-00000185	조직들은	조직/NNG + 들/XSN + 은/JX
BTHO0397-00000186	앞뇌	앞/NNG + 뇌/NNG
BTHO0397-00000187	(전뇌;	(/SS + 전뇌/NNG + ;/SP
BTHO0397-00000188	prosencephalon),	prosencephalon/SL + )/SS + ,/SP
BTHO0397-00000189	중간뇌	중간뇌/NNG
BTHO0397-00000190	(중뇌;	(/SS + 중뇌/NNG + ;/SP
BTHO0397-00000191	mesencephalon)	mesencephalon/SL + )/SS
BTHO0397-00000192	및	및/MAG
BTHO0397-00000193	마름뇌	마름/NNG + 뇌/NNG
BTHO0397-00000194	(능형뇌;	(/SS + 능형뇌/NNG + ;/SP
BTHO0397-00000195	rhombencephalon)로	rhombencephalon/SL + )/SS + 로/JKB
BTHO0397-00000196	구분되고,	구분/NNG + 되/XSV + 고/EC + ,/SP
BTHO0397-00000197	더욱	더욱/MAG
BTHO0397-00000198	분화되면	분화/NNG + 되/XSV + 면/EC
BTHO0397-00000199	앞뇌	앞/NNG + 뇌/NNG
BTHO0397-00000200	(전뇌)는	(/SS + 전뇌/NNG + )/SS + 는/JX
BTHO0397-00000201	더욱	더욱/MAG
BTHO0397-00000202	세분화되어	세분/NNG + 화/XSN + 되/XSV + 어/EC
BTHO0397-00000203	끝뇌	끝/NNG + 뇌/NNG
BTHO0397-00000204	(종뇌;	(/SS + 종뇌/NNG + ;/SP
BTHO0397-00000205	telencephalon)와	telencephalon/SL + )/SS + 와/JC
BTHO0397-00000206	사이뇌	사이/NNG + 뇌/NNG
BTHO0397-00000207	(간뇌;	(/SS + 간뇌/NNG + ;/SP
BTHO0397-00000208	diencephalon)로,	diencephalon/SL + )/SS + 로/JKB + ,/SP
BTHO0397-00000209	마름뇌	마름/NNG + 뇌/NNG
BTHO0397-00000210	(능형뇌)는	(/SS + 능형뇌/NNG + )/SS + 는/JX
BTHO0397-00000211	뒤뇌	뒤뇌/NNG
BTHO0397-00000212	(후뇌;	(/SS + 후뇌/NNG + ;/SP
BTHO0397-00000213	metencephalon)와	metencephalon/SL + )/SS + 와/JC
BTHO0397-00000214	숨뇌	숨/NNG + 뇌/NNG
BTHO0397-00000215	(수뇌;	(/SS + 수뇌/NNG + ;/SP
BTHO0397-00000216	myelencephalon)로	myelencephalon/SL + )/SS + 로/JKB
BTHO0397-00000217	나누어진다.	나누/VV + 어/EC + 지/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000218	그리고	그리고/MAJ
BTHO0397-00000219	중추	중추/NNG
BTHO0397-00000220	신경계와	신경/NNG + 계/XSN + 와/JKB
BTHO0397-00000221	구분되는	구분/NNG + 되/XSV + 는/ETM
BTHO0397-00000222	말초	말초/NNG
BTHO0397-00000223	신경계는	신경/NNG + 계/XSN + 는/JX
BTHO0397-00000224	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000225	중추	중추/NNG
BTHO0397-00000226	신경계의	신경/NNG + 계/XSN + 의/JKG
BTHO0397-00000227	발달과	발달/NNG + 과/JKB
BTHO0397-00000228	더불어	더불/VV + 어/EC
BTHO0397-00000229	12쌍의	12/SN + 쌍/NNG + 의/JKG
BTHO0397-00000230	뇌신경들이	뇌신경/NNG + 들/XSN + 이/JKS
BTHO0397-00000231	생겨나고,	생겨나/VV + 고/EC + ,/SP
BTHO0397-00000232	척수에서	척수/NNG + 에서/JKB
BTHO0397-00000233	연결되는	연결/NNG + 되/XSV + 는/ETM
BTHO0397-00000234	31쌍의	31/SN + 쌍/NNG + 의/JKG
BTHO0397-00000235	척수	척수/NNG
BTHO0397-00000236	신경들이	신경/NNG + 들/XSN + 이/JKS
BTHO0397-00000237	발생하여	발생/NNG + 하/XSV + 아/EC
BTHO0397-00000238	구성되면서	구성/NNG + 되/XSV + 면서/EC
BTHO0397-00000239	근육과	근육/NNG + 과/JC
BTHO0397-00000240	같은	같/VA + 은/ETM
BTHO0397-00000241	말단	말단/NNG
BTHO0397-00000242	조직들과	조직/NNG + 들/XSN + 과/JC
BTHO0397-00000243	연관이	연관/NNG + 이/JKC
BTHO0397-00000244	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000245	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000246	말초	말초/NNG
BTHO0397-00000247	신경계는	신경/NNG + 계/XSN + 는/JX
BTHO0397-00000248	말초	말초/NNG
BTHO0397-00000249	신경을	신경/NNG + 을/JKO
BTHO0397-00000250	포함하는	포함/NNG + 하/XSV + 는/ETM
BTHO0397-00000251	수평적	수평/NNG + 적/XSN
BTHO0397-00000252	성분들을	성분/NNG + 들/XSN + 을/JKO
BTHO0397-00000253	의미하며,	의미/NNG + 하/XSV + 며/EC + ,/SP
BTHO0397-00000254	흔히	흔히/MAG
BTHO0397-00000255	수용기	수용기/NNG
BTHO0397-00000256	혹은	혹은/MAG
BTHO0397-00000257	감각세포,	감각/NNG + 세포/NNG + ,/SP
BTHO0397-00000258	감각	감각/NNG
BTHO0397-00000259	신경세포,	신경/NNG + 세포/NNG + ,/SP
BTHO0397-00000260	신경	신경/NNG
BTHO0397-00000261	연접,	연접/NNG + ,/SP
BTHO0397-00000262	운동	운동/NNG
BTHO0397-00000263	신경세포	신경/NNG + 세포/NNG
BTHO0397-00000264	및	및/MAG
BTHO0397-00000265	효과기로	효과기/NNG + 로/JKB
BTHO0397-00000266	구분할	구분/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00000267	수	수/NNB
BTHO0397-00000268	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00000269	신경계의	신경/NNG + 계/XSN + 의/JKG
BTHO0397-00000270	질환들은	질환/NNG + 들/XSN + 은/JX
BTHO0397-00000271	다른	다른/MM
BTHO0397-00000272	계통의	계통/NNG + 의/JKG
BTHO0397-00000273	임상적	임상/NNG + 적/XSN
BTHO0397-00000274	질환들과	질환/NNG + 들/XSN + 과/JC
BTHO0397-00000275	마찬가지로	마찬가지/NNG + 로/JKB
BTHO0397-00000276	여러	여러/MM
BTHO0397-00000277	원인들에서	원인/NNG + 들/XSN + 에서/JKB
BTHO0397-00000278	기인될	기인/NNG + 되/XSV + ᆯ/ETM
BTHO0397-00000279	수	수/NNB
BTHO0397-00000280	있지만,	있/VV + 지만/EC + ,/SP
BTHO0397-00000281	아직도	아직/MAG + 도/JX
BTHO0397-00000282	다른	다른/MM
BTHO0397-00000283	조직이나	조직/NNG + 이나/JC
BTHO0397-00000284	기관에	기관/NNG + 에/JKB
BTHO0397-00000285	비하여	비하/VV + 아/EC
BTHO0397-00000286	모르는	모르/VV + 는/ETM
BTHO0397-00000287	부분이	부분/NNG + 이/JKS
BTHO0397-00000288	많다.	많/VA + 다/EF + ./SF
</p>
<p>
BTHO0397-00000289	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000290	신경계가	신경/NNG + 계/XSN + 가/JKS
BTHO0397-00000291	일으키는	일으키/VV + 는/ETM
BTHO0397-00000292	주요	주요/NNG
BTHO0397-00000293	임상	임상/NNG
BTHO0397-00000294	증상들은	증상/NNG + 들/XSN + 은/JX
BTHO0397-00000295	흔히	흔히/MAG
BTHO0397-00000296	응급	응급/NNG
BTHO0397-00000297	상태를	상태/NNG + 를/JKO
BTHO0397-00000298	의미하는	의미/NNG + 하/XSV + 는/ETM
BTHO0397-00000299	현상들로서,	현상/NNG + 들/XSN + 로서/JKB + ,/SP
BTHO0397-00000300	예를	예/NNG + 를/JKO
BTHO0397-00000301	들면	들/VV + 면/EC
BTHO0397-00000302	의식	의식/NNG
BTHO0397-00000303	상실,	상실/NNG + ,/SP
BTHO0397-00000304	갑작스런	갑작스럽/VA + ᆫ/ETM
BTHO0397-00000305	진행성	진행/NNG + 성/XSN
BTHO0397-00000306	근	근/MM
BTHO0397-00000307	쇠약,	쇠약/NNG + ,/SP
BTHO0397-00000308	시각	시각/NNG
BTHO0397-00000309	장애,	장애/NNG + ,/SP
BTHO0397-00000310	어지럼	어지럽/VA + ᄆ/ETN
BTHO0397-00000311	(현훈;	(/SS + 현훈/NNG + ;/SP
BTHO0397-00000312	vertigo)	vertigo/SL + )/SS
BTHO0397-00000313	및	및/MAG
BTHO0397-00000314	조화운동못함증	조화/NNG + 운동/NNG + 못/MAG + 하/XSV + ᄆ/ETN + 증/NNG
BTHO0397-00000315	(실조증;	(/SS + 실조증/NNG + ;/SP
BTHO0397-00000316	apraxia),	apraxia/SL + )/SS + ,/SP
BTHO0397-00000317	진행성	진행/NNG + 성/XSN
BTHO0397-00000318	치매,	치매/NNG + ,/SP
BTHO0397-00000319	심각한	심각/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000320	두통,	두통/NNG + ,/SP
BTHO0397-00000321	그리고	그리고/MAJ
BTHO0397-00000322	배뇨	배뇨/NNG
BTHO0397-00000323	곤란	곤란/NNG
BTHO0397-00000324	등이	등/NNB + 이/JKS
BTHO0397-00000325	대표적	대표/NNG + 적/XSN
BTHO0397-00000326	임상	임상/NNG
BTHO0397-00000327	증상들이다.	증상/NNG + 들/XSN + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0397-00000328	또한	또한/MAG
BTHO0397-00000329	임상적	임상/NNG + 적/XSN
BTHO0397-00000330	현상들과	현상/NNG + 들/XSN + 과/JKB
BTHO0397-00000331	더불어	더불/VV + 어/EC
BTHO0397-00000332	신경학적	신경학/NNG + 적/XSN
BTHO0397-00000333	증상	증상/NNG
BTHO0397-00000334	및	및/MAG
BTHO0397-00000335	징후들과	징후/NNG + 들/XSN + 과/JKB
BTHO0397-00000336	연관시켜	연관/NNG + 시키/XSV + 어/EC
BTHO0397-00000337	병변의	병변/NNG + 의/JKG
BTHO0397-00000338	국소성을	국소/NNG + 성/XSN + 을/JKO
BTHO0397-00000339	밝히려는	밝히/VV + 려는/ETM
BTHO0397-00000340	노력은	노력/NNG + 은/JX
BTHO0397-00000341	신경학적	신경학/NNG + 적/XSN
BTHO0397-00000342	진단에서	진단/NNG + 에서/JKB
BTHO0397-00000343	매우	매우/MAG
BTHO0397-00000344	중요한	중요/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00000345	부분을	부분/NNG + 을/JKO
BTHO0397-00000346	이룬다.	이루/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000347	신경학적	신경학/NNG + 적/XSN
BTHO0397-00000348	진단이란	진단/NNG + 이란/JX
BTHO0397-00000349	임상적	임상/NNG + 적/XSN
BTHO0397-00000350	관찰에서	관찰/NNG + 에서/JKB
BTHO0397-00000351	얻어진	얻/VV + 어/EC + 지/VX + ᆫ/ETM
BTHO0397-00000352	여러	여러/MM
BTHO0397-00000353	가지	가지/NNB
BTHO0397-00000354	정보들을	정보/NNG + 들/XSN + 을/JKO
BTHO0397-00000355	합리적으로	합리/NNG + 적/XSN + 으로/JKB
BTHO0397-00000356	유추하여	유추/NNG + 하/XSV + 아/EC
BTHO0397-00000357	한가지	한가지/NNG
BTHO0397-00000358	설명으로	설명/NNG + 으로/JKB
BTHO0397-00000359	해석하려는	해석/NNG + 하/XSV + 려는/ETM
BTHO0397-00000360	통정	통정/NNG
BTHO0397-00000361	과정이라고	과정/NNG + 이/VCP + 라고/EC
BTHO0397-00000362	말할	말/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00000363	수	수/NNB
BTHO0397-00000364	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00000365	임상에서	임상/NNG + 에서/JKB
BTHO0397-00000366	진단에	진단/NNG + 에/JKB
BTHO0397-00000367	관여하는	관여/NNG + 하/XSV + 는/ETM
BTHO0397-00000368	논리적	논리/NNG + 적/XSN
BTHO0397-00000369	과정이	과정/NNG + 이/JKS
BTHO0397-00000370	항상	항상/MAG
BTHO0397-00000371	같은	같/VA + 은/ETM
BTHO0397-00000372	방식일	방식/NNG + 이/VCP + ᆯ/ETM
BTHO0397-00000373	수는	수/NNB + 는/JX
BTHO0397-00000374	없지만,	없/VA + 지만/EC + ,/SP
BTHO0397-00000375	대부분의	대부분/NNG + 의/JKG
BTHO0397-00000376	경우에서	경우/NNG + 에서/JKB
BTHO0397-00000377	분석적이고	분석/NNG + 적/XSN + 이/VCP + 고/EC
BTHO0397-00000378	논리적	논리/NNG + 적/XSN
BTHO0397-00000379	단계로	단계/NNG + 로/JKB
BTHO0397-00000380	접근하여야만	접근/NNG + 하/XSV + 아야/EC + 만/JX
BTHO0397-00000381	가능하다.	가능/NNG + 하/XSA + 다/EF + ./SF
</p>
<p>
BTHO0397-00000382	즉	즉/MAG
BTHO0397-00000383	병력과	병력/NNG + 과/JC
BTHO0397-00000384	이학적	이학/NNG + 적/XSN
BTHO0397-00000385	검사에서	검사/NNG + 에서/JKB
BTHO0397-00000386	증상	증상/NNG
BTHO0397-00000387	및	및/MAG
BTHO0397-00000388	징후의	징후/NNG + 의/JKG
BTHO0397-00000389	확증,	확증/NNG + ,/SP
BTHO0397-00000390	특징적	특징/NNG + 적/XSN
BTHO0397-00000391	증상들의	증상/NNG + 들/XSN + 의/JKG
BTHO0397-00000392	집단화,	집단/NNG + 화/XSN + ,/SP
BTHO0397-00000393	임상적	임상/NNG + 적/XSN
BTHO0397-00000394	상관성의	상관/NNG + 성/XSN + 의/JKG
BTHO0397-00000395	성립	성립/NNG
BTHO0397-00000396	여부를	여부/NNG + 를/JKO
BTHO0397-00000397	찾는	찾/VV + 는/ETM
BTHO0397-00000398	증후적	증후/NNG + 적/XSN
BTHO0397-00000399	진단	진단/NNG
BTHO0397-00000400	과정이	과정/NNG + 이/JKS
BTHO0397-00000401	선행된다.	선행/NNG + 되/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000402	동시에	동시/NNG + 에/JKB
BTHO0397-00000403	침범된	침범/NNG + 되/XSV + ᆫ/ETM
BTHO0397-00000404	신경계의	신경/NNG + 계/XSN + 의/JKG
BTHO0397-00000405	부위와	부위/NNG + 와/JC
BTHO0397-00000406	임상적	임상/NNG + 적/XSN
BTHO0397-00000407	상관성을	상관/NNG + 성/XSN + 을/JKO
BTHO0397-00000408	찾는	찾/VV + 는/ETM
BTHO0397-00000409	해부학적	해부학/NNG + 적/XSN
BTHO0397-00000410	진단	진단/NNG
BTHO0397-00000411	과정,	과정/NNG + ,/SP
BTHO0397-00000412	발병	발병/NNG
BTHO0397-00000413	시기,	시기/NNG + ,/SP
BTHO0397-00000414	임상	임상/NNG
BTHO0397-00000415	양상,	양상/NNG + ,/SP
BTHO0397-00000416	질병의	질병/NNG + 의/JKG
BTHO0397-00000417	경과,	경과/NNG + ,/SP
BTHO0397-00000418	과거력,	과거/NNG + 력/NNG + ,/SP
BTHO0397-00000419	가족력	가족력/NNG
BTHO0397-00000420	등에서	등/NNB + 에서/JKB
BTHO0397-00000421	추정하는	추정/NNG + 하/XSV + 는/ETM
BTHO0397-00000422	원인론적	원인/NNG + 론/XSN + 적/XSN
BTHO0397-00000423	진단	진단/NNG
BTHO0397-00000424	과정,	과정/NNG + ,/SP
BTHO0397-00000425	추정	추정/NNG
BTHO0397-00000426	원인	원인/NNG + ,/SP
BTHO0397-00000427	및	및/MAG
BTHO0397-00000428	실험실적	실험실/NNG + 적/XSN
BTHO0397-00000429	소견과	소견/NNG + 과/JKB
BTHO0397-00000430	연관지어	연관/NNG + 짓/VV + 어/EC
BTHO0397-00000431	질병의	질병/NNG + 의/JKG
BTHO0397-00000432	발생	발생/NNG
BTHO0397-00000433	기전을	기전/NNG + 을/JKO
BTHO0397-00000434	찾는	찾/VV + 는/ETM
BTHO0397-00000435	병리학적	병리학/NNG + 적/XSN
BTHO0397-00000436	진단	진단/NNG
BTHO0397-00000437	과정,	과정/NNG + ,/SP
BTHO0397-00000438	그리고	그리고/MAJ
BTHO0397-00000439	환자의	환자/NNG + 의/JKG
BTHO0397-00000440	무능력	무/XPN + 능력/NNG
BTHO0397-00000441	상태	상태/NNG
BTHO0397-00000442	혹은	혹은/MAG
BTHO0397-00000443	그	그/MM
BTHO0397-00000444	정도를	정도/NNG + 를/JKO
BTHO0397-00000445	평가하고	평가/NNG + 하/XSV + 고/EC
BTHO0397-00000446	치료	치료/NNG
BTHO0397-00000447	대책을	대책/NNG + 을/JKO
BTHO0397-00000448	세우는	세우/VV + 는/ETM
BTHO0397-00000449	기능적	기능/NNG + 적/XSN
BTHO0397-00000450	진단	진단/NNG
BTHO0397-00000451	과정	과정/NNG
