<head>
BTHO0394-00000003	문제의	문제/NNG + 의/JKG
BTHO0394-00000080	경우에도	경우/NNG + 에/JKB + 도/JX
BTHO0394-00000081	국내	국내/NNG
BTHO0394-00000082	대학원에	대학원/NNG + 에/JKB
BTHO0394-00000083	진학하는	진학/NNG + 하/XSV + 는/ETM
BTHO0394-00000084	대신	대신/NNG
BTHO0394-00000085	해외유학을	해외/NNG + 유학/NNG + 을/JKO
BTHO0394-00000086	떠나고	떠나/VV + 고/EC
BTHO0394-00000087	있기	있/VX + 기/ETN
BTHO0394-00000088	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000089	이에	이/NP + 에/JKB
BTHO0394-00000090	따라,	따르/VV + 아/EC + ,/SP
BTHO0394-00000091	대학들은	대학/NNG + 들/XSN + 은/JX
BTHO0394-00000092	장학금을	장학금/NNG + 을/JKO
BTHO0394-00000093	지급하는	지급/NNG + 하/XSV + 는/ETM
BTHO0394-00000094	등	등/NNB
BTHO0394-00000095	학생들을	학생/NNG + 들/XSN + 을/JKO
BTHO0394-00000096	국내	국내/NNG
BTHO0394-00000097	대학원으로	대학원/NNG + 으로/JKB
BTHO0394-00000098	이끌기	이끌/VV + 기/ETN
BTHO0394-00000099	위해	위하/VV + 아/EC
BTHO0394-00000100	안간힘을	안간힘/NNG + 을/JKO
BTHO0394-00000101	쓰고	쓰/VV + 고/EC
BTHO0394-00000102	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00000103	이는,	이/NP + 는/JX + ,/SP
BTHO0394-00000104	이공계분야의	이공/NNG + 계/XSN + 분야/NNG + 의/JKG
BTHO0394-00000105	경우,	경우/NNG + ,/SP
BTHO0394-00000106	대학원생들이	대학원/NNG + 생/XSN + 들/XSN + 이/JKS
BTHO0394-00000107	교수의	교수/NNG + 의/JKG
BTHO0394-00000108	지도를	지도/NNG + 를/JKO
BTHO0394-00000109	받아	받/VV + 아/EC
BTHO0394-00000110	함께	함께/MAG
BTHO0394-00000111	연구에	연구/NNG + 에/JKB
BTHO0394-00000112	참여하면서	참여/NNG + 하/XSV + 면서/EC
BTHO0394-00000113	교수의	교수/NNG + 의/JKG
BTHO0394-00000114	연구를	연구/NNG + 를/JKO
BTHO0394-00000115	돕고	돕/VV + 고/EC
BTHO0394-00000116	동시에	동시/NNG + 에/JKB
BTHO0394-00000117	자신의	자신/NNG + 의/JKG
BTHO0394-00000118	능력을	능력/NNG + 을/JKO
BTHO0394-00000119	배양하는	배양/NNG + 하/XSV + 는/ETM
BTHO0394-00000120	두	두/MM
BTHO0394-00000121	가지	가지/NNB
BTHO0394-00000122	일을	일/NNG + 을/JKO
BTHO0394-00000123	동시에	동시/NNG + 에/JKB
BTHO0394-00000124	수행하고	수행/NNG + 하/XSV + 고/EC
BTHO0394-00000125	있으므로,	있/VX + 으므로/EC + ,/SP
BTHO0394-00000126	만약	만약/NNG
BTHO0394-00000127	대학원생들이	대학원/NNG + 생/XSN + 들/XSN + 이/JKS
BTHO0394-00000128	없다면	없/VA + 다면/EC
BTHO0394-00000129	교수들이	교수/NNG + 들/XSN + 이/JKS
BTHO0394-00000130	아무리	아무리/MAG
BTHO0394-00000131	우수하고	우수/NNG + 하/XSA + 고/EC
BTHO0394-00000132	유능해도	유능/NNG + 하/XSA + 아도/EC
BTHO0394-00000133	연구를	연구/NNG + 를/JKO
BTHO0394-00000134	제대로	제대로/MAG
BTHO0394-00000135	수행할	수행/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00000136	수	수/NNB
BTHO0394-00000137	없기	없/VA + 기/ETN
BTHO0394-00000138	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000139	따라서,	따라서/MAJ + ,/SP
BTHO0394-00000140	대학원이	대학원/NNG + 이/JKS
BTHO0394-00000141	비어간다는	비/VV + 어/EC + 가/VX + ᆫ다는/ETM
BTHO0394-00000142	것은	것/NNB + 은/JX
BTHO0394-00000143	단순히	단순히/MAG
BTHO0394-00000144	학생들이	학생/NNG + 들/XSN + 이/JKS
BTHO0394-00000145	진학을	진학/NNG + 을/JKO
BTHO0394-00000146	기피한다는	기피/NNG + 하/XSV + ᆫ다는/ETM
BTHO0394-00000147	문제를	문제/NNG + 를/JKO
BTHO0394-00000148	넘어서서,	넘어서/VV + 어서/EC + ,/SP
BTHO0394-00000149	대학의	대학/NNG + 의/JKG
BTHO0394-00000150	연구능력을	연구/NNG + 능력/NNG + 을/JKO
BTHO0394-00000151	축소시키고	축소/NNG + 시키/XSV + 고/EC
BTHO0394-00000152	나아가	나아가/VV + 아/EC
BTHO0394-00000153	국가	국가/NNG
BTHO0394-00000154	경쟁력의	경쟁력/NNG + 의/JKG
BTHO0394-00000155	저하를	저하/NNG + 를/JKO
BTHO0394-00000156	초래하게	초래/NNG + 하/XSV + 게/EC
BTHO0394-00000157	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00000158	그러나,	그러나/MAJ + ,/SP
BTHO0394-00000159	장학금을	장학금/NNG + 을/JKO
BTHO0394-00000160	준다고	주/VV + ᆫ다고/EC
BTHO0394-00000161	해서	하/VV + 아서/EC
BTHO0394-00000162	해외유학을	해외/NNG + 유학/NNG + 을/JKO
BTHO0394-00000163	떠나는	떠나/VV + 는/ETM
BTHO0394-00000164	학생들이	학생/NNG + 들/XSN + 이/JKS
BTHO0394-00000165	국내	국내/NNG
BTHO0394-00000166	대학원으로	대학원/NNG + 으로/JKB
BTHO0394-00000167	돌아올	돌아오/VV + ᆯ/ETM
BTHO0394-00000168	것이라고	것/NNB + 이/VCP + 라고/EC
BTHO0394-00000169	낙관적으로	낙관/NNG + 적/XSN + 으로/JKB
BTHO0394-00000170	생각하기는	생각/NNG + 하/XSV + 기/ETN + 는/JX
BTHO0394-00000171	어려울	어렵/VA + ᆯ/ETM
BTHO0394-00000172	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000173	왜냐하면,	왜냐하면/MAG + ,/SP
BTHO0394-00000174	장학금	장학금/NNG
BTHO0394-00000175	지급은	지급/NNG + 은/JX
BTHO0394-00000176	단편적인	단편/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00000177	미봉책에	미봉책/NNG + 에/JKB
BTHO0394-00000178	불과하기	불과/MAG + 하/XSA + 기/ETN
BTHO0394-00000179	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000180	장학금을	장학금/NNG + 을/JKO
BTHO0394-00000181	지급한다고	지급/NNG + 하/XSV + ᆫ다고/EC
BTHO0394-00000182	해서	하/VV + 아서/EC
BTHO0394-00000183	국내	국내/NNG
BTHO0394-00000184	학위	학위/NNG
BTHO0394-00000185	취득자에	취득자/NNG + 에/JKB
BTHO0394-00000186	대한	대하/VV + ᆫ/ETM
BTHO0394-00000187	푸대접,	푸대접/NNG + ,/SP
BTHO0394-00000188	학업	학업/NNG
BTHO0394-00000189	후	후/NNG
BTHO0394-00000190	취업의	취업/NNG + 의/JKG
BTHO0394-00000191	어려움이	어려움/NNG + 이/JKS
BTHO0394-00000192	사라지는	사라지/VV + 는/ETM
BTHO0394-00000193	것은	것/NNB + 은/JX
BTHO0394-00000194	아니기	아니/VCN + 기/ETN
BTHO0394-00000195	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000196	국내	국내/NNG
BTHO0394-00000197	대학원이	대학원/NNG + 이/JKS
BTHO0394-00000198	외면	외면/NNG
BTHO0394-00000199	받는	받/VV + 는/ETM
BTHO0394-00000200	가장	가장/MAG
BTHO0394-00000201	근본적인	근본/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00000202	이유는	이유/NNG + 는/JX
BTHO0394-00000203	국내	국내/NNG
BTHO0394-00000204	대학원의	대학원/NNG + 의/JKG
BTHO0394-00000205	연구	연구/NNG
BTHO0394-00000206	경쟁력이	경쟁력/NNG + 이/JKS
BTHO0394-00000207	외국의	외국/NNG + 의/JKG
BTHO0394-00000208	대학원에	대학원/NNG + 에/JKB
BTHO0394-00000209	비해	비하/VV + 아/EC
BTHO0394-00000210	상대적으로	상대/NNG + 적/XSN + 으로/JKB
BTHO0394-00000211	취약하기	취약/NNG + 하/XSA + 기/ETN
BTHO0394-00000212	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000213	연구	연구/NNG
BTHO0394-00000214	경쟁력이	경쟁력/NNG + 이/JKS
BTHO0394-00000215	취약하기	취약/NNG + 하/XSA + 기/ETN
BTHO0394-00000216	때문에	때문/NNB + 에/JKB
BTHO0394-00000217	이곳에서	이곳/NP + 에서/JKB
BTHO0394-00000218	연구	연구/NNG
BTHO0394-00000219	경험을	경험/NNG + 을/JKO
BTHO0394-00000220	쌓은	쌓/VV + 은/ETM
BTHO0394-00000221	국내	국내/NNG
BTHO0394-00000222	학위	학위/NNG
BTHO0394-00000223	취득자가	취득자/NNG + 가/JKS
BTHO0394-00000224	우수한	우수/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00000225	연구능력을	연구/NNG + 능력/NNG + 을/JKO
BTHO0394-00000226	갖추기	갖추/VV + 기/ETN
BTHO0394-00000227	어렵고	어렵/VA + 고/EC
BTHO0394-00000228	따라서	따라서/MAJ
BTHO0394-00000229	우수한	우수/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00000230	연구인력을	연구/NNG + 인력/NNG + 을/JKO
BTHO0394-00000231	필요로	필요/NNG + 로/JKB
BTHO0394-00000232	하는	하/VV + 는/ETM
BTHO0394-00000233	대학이나	대학/NNG + 이나/JC
BTHO0394-00000234	연구소	연구소/NNG
BTHO0394-00000235	등에서	등/NNB + 에서/JKB
BTHO0394-00000236	국내	국내/NNG
BTHO0394-00000237	학위	학위/NNG
BTHO0394-00000238	취득자를	취득자/NNG + 를/JKO
BTHO0394-00000239	홀대하게	홀대/NNG + 하/XSV + 게/EC
BTHO0394-00000240	되는	되/VV + 는/ETM
BTHO0394-00000241	것이며,	것/NNB + 이/VCP + 며/EC + ,/SP
BTHO0394-00000242	이는	이/NP + 는/JX
BTHO0394-00000243	다시	다시/MAG
BTHO0394-00000244	국내	국내/NNG
BTHO0394-00000245	대학원의	대학원/NNG + 의/JKG
BTHO0394-00000246	기피와	기피/NNG + 와/JC
BTHO0394-00000247	이에	이/NP + 에/JKB
BTHO0394-00000248	따른	따르/VV + ᆫ/ETM
BTHO0394-00000249	대학원의	대학원/NNG + 의/JKG
BTHO0394-00000250	연구	연구/NNG
BTHO0394-00000251	경쟁력	경쟁력/NNG
BTHO0394-00000252	약화로	약화/NNG + 로/JKB
BTHO0394-00000253	이어지는	이어지/VV + 는/ETM
BTHO0394-00000254	악순환(惡循環)을	악순환/NNG + (/SS + 惡循環/SH + )/SS + 을/JKO
BTHO0394-00000255	형성하게	형성/NNG + 하/XSV + 게/EC
BTHO0394-00000256	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00000257	그러면,	그러면/MAJ + ,/SP
BTHO0394-00000258	어떻게	어떻/VA + 게/EC
BTHO0394-00000259	해야	하/VV + 아야/EC
BTHO0394-00000260	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00000261	악순환을	악순환/NNG + 을/JKO
BTHO0394-00000262	선순환(善循環)으로	선/NNG + 순환/NNG + (/SS + 善循環/SH + )/SS + 으로/JKB
BTHO0394-00000263	전환시킬	전환/NNG + 시키/XSV + ᆯ/ETM
BTHO0394-00000264	수	수/NNB
BTHO0394-00000265	있을까?	있/VV + 을까/EF + ?/SF
</p>
<p>
BTHO0394-00000266	단순히	단순히/MAG
BTHO0394-00000267	한두	한두/MM
BTHO0394-00000268	가지의	가지/NNB + 의/JKG
BTHO0394-00000269	단편적인	단편/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00000270	처방으로	처방/NNG + 으로/JKB
BTHO0394-00000271	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00000272	전환이	전환/NNG + 이/JKS
BTHO0394-00000273	가능하지는	가능/NNG + 하/XSA + 지/EC + 는/JX
BTHO0394-00000274	않을	않/VX + 을/ETM
BTHO0394-00000275	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000276	왜냐하면,	왜냐하면/MAG + ,/SP
BTHO0394-00000277	악순환은	악순환/NNG + 은/JX
BTHO0394-00000278	단순히	단순히/MAG
BTHO0394-00000279	어떠한	어떠/XR + 하/XSA + ᆫ/ETM
BTHO0394-00000280	한두	한두/MM
BTHO0394-00000281	가지	가지/NNB
BTHO0394-00000282	요인에	요인/NNG + 에/JKB
BTHO0394-00000283	의해서	의하/VV + 아서/EC
BTHO0394-00000284	발생하는	발생/NNG + 하/XSV + 는/ETM
BTHO0394-00000285	것이	것/NNB + 이/JKC
BTHO0394-00000286	아니라	아니/VCN + 라/EC
BTHO0394-00000287	다양한	다양/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00000288	경제	경제/NNG
BTHO0394-00000289	사회적	사회/NNG + 적/XSN
BTHO0394-00000290	요인에서	요인/NNG + 에서/JKB
BTHO0394-00000291	비롯된	비롯/XR + 되/XSV + ᆫ/ETM
BTHO0394-00000292	복합적	복합/NNG + 적/XSN
BTHO0394-00000293	산물이기	산물/NNG + 이/VCP + 기/ETN
BTHO0394-00000294	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000295	그러므로,	그러므로/MAJ + ,/SP
BTHO0394-00000296	악순환을	악순환/NNG + 을/JKO
BTHO0394-00000297	선순환으로	선/NNG + 순환/NNG + 으로/JKB
BTHO0394-00000298	전환하기	전환/NNG + 하/XSV + 기/ETN
BTHO0394-00000299	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0394-00000300	우선,	우선/MAG + ,/SP
BTHO0394-00000301	악순환과	악순환/NNG + 과/JC
BTHO0394-00000302	선순환이	선/NNG + 순환/NNG + 이/JKS
BTHO0394-00000303	갖는	갖/VV + 는/ETM
BTHO0394-00000304	구조적	구조/NNG + 적/XSN
BTHO0394-00000305	특성들을	특성/NNG + 들/XSN + 을/JKO
BTHO0394-00000306	제대로	제대로/MAG
BTHO0394-00000307	파악하고,	파악/NNG + 하/XSV + 고/EC + ,/SP
BTHO0394-00000308	악순환을	악순환/NNG + 을/JKO
BTHO0394-00000309	야기하는	야기/NNG + 하/XSV + 는/ETM
BTHO0394-00000310	구조적	구조/NNG + 적/XSN
BTHO0394-00000311	여건을	여건/NNG + 을/JKO
BTHO0394-00000312	선순환을	선/NNG + 순환/NNG + 을/JKO
BTHO0394-00000313	야기하는	야기/NNG + 하/XSV + 는/ETM
BTHO0394-00000314	구조적	구조/NNG + 적/XSN
BTHO0394-00000315	여건으로	여건/NNG + 으로/JKB
BTHO0394-00000316	바꾸어야	바꾸/VV + 어야/EC
BTHO0394-00000317	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00000318	악순환의	악순환/NNG + 의/JKG
BTHO0394-00000319	고리를	고리/NNG + 를/JKO
BTHO0394-00000320	선순환의	선/NNG + 순환/NNG + 의/JKG
BTHO0394-00000321	고리로	고리/NNG + 로/JKB
BTHO0394-00000322	변화시키기	변화/NNG + 시키/XSV + 기/ETN
BTHO0394-00000323	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0394-00000324	우리나라의	우리나라/NNG + 의/JKG
BTHO0394-00000325	어떠한	어떠/XR + 하/XSA + ᆫ/ETM
BTHO0394-00000326	요인이	요인/NNG + 이/JKS
BTHO0394-00000327	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00000328	악순환을	악순환/NNG + 을/JKO
BTHO0394-00000329	초래하였고	초래/NNG + 하/XSV + 았/EP + 고/EC
BTHO0394-00000330	외국의	외국/NNG + 의/JKG
BTHO0394-00000331	어떠한	어떠/XR + 하/XSA + ᆫ/ETM
BTHO0394-00000332	요인들이	요인/NNG + 들/XSN + 이/JKS
BTHO0394-00000333	그들의	그/NP + 들/XSN + 의/JKG
BTHO0394-00000334	선순환을	선/NNG + 순환/NNG + 을/JKO
BTHO0394-00000335	이룩하였는지	이룩/XR + 하/XSV + 았/EP + 는지/EC
BTHO0394-00000336	비교하고	비교/NNG + 하/XSV + 고/EC
BTHO0394-00000337	분석함으로써	분석/NNG + 하/XSV + ᄆ/ETN + 으로써/JKB
BTHO0394-00000338	그	그/MM
BTHO0394-00000339	요인을	요인/NNG + 을/JKO
BTHO0394-00000340	찾아내고	찾아내/VV + 고/EC
BTHO0394-00000341	우리가	우리/NP + 가/JKS
BTHO0394-00000342	부족한	부족/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00000343	점을	점/NNG + 을/JKO
BTHO0394-00000344	보완해야	보완/NNG + 하/XSV + 아야/EC
BTHO0394-00000345	할	하/VX + ᆯ/ETM
BTHO0394-00000346	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000347	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00000348	과정을	과정/NNG + 을/JKO
BTHO0394-00000349	통해,	통하/VV + 아/EC + ,/SP
BTHO0394-00000350	우리나라	우리나라/NNG
BTHO0394-00000351	대학원에서	대학원/NNG + 에서/JKB
BTHO0394-00000352	이루어지는	이루어지/VV + 는/ETM
BTHO0394-00000353	연구와	연구/NNG + 와/JC
BTHO0394-00000354	교육이	교육/NNG + 이/JKS
BTHO0394-00000355	국제경쟁력을	국제/NNG + 경쟁력/NNG + 을/JKO
BTHO0394-00000356	확보할	확보/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00000357	수	수/NNB
BTHO0394-00000358	있게	있/VV + 게/EC
BTHO0394-00000359	된다면,	되/VV + ᆫ다면/EC + ,/SP
BTHO0394-00000360	국내	국내/NNG
BTHO0394-00000361	대학원에	대학원/NNG + 에/JKB
BTHO0394-00000362	진학하고자	진학/NNG + 하/XSV + 고자/EC
BTHO0394-00000363	하는	하/VX + 는/ETM
BTHO0394-00000364	학생이	학생/NNG + 이/JKS
BTHO0394-00000365	늘어갈	늘/VV + 어/EC + 가/VX + ᆯ/ETM
BTHO0394-00000366	것이며,	것/NNB + 이/VCP + 며/EC + ,/SP
BTHO0394-00000367	아울러	아울러/MAG
BTHO0394-00000368	우수한	우수/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00000369	연구인력으로	연구/NNG + 인력/NNG + 으로/JKB
BTHO0394-00000370	거듭난	거듭나/VV + ᆫ/ETM
BTHO0394-00000371	국내	국내/NNG
BTHO0394-00000372	학위자에	학위자/NNG + 에/JKB
BTHO0394-00000373	대한	대하/VV + ᆫ/ETM
BTHO0394-00000374	시각도	시각/NNG + 도/JX
BTHO0394-00000375	달라지는	달라지/VV + 는/ETM
BTHO0394-00000376	선순환의	선/NNG + 순환/NNG + 의/JKG
BTHO0394-00000377	고리가	고리/NNG + 가/JKS
BTHO0394-00000378	형성될	형성/NNG + 되/XSV + ᆯ/ETM
BTHO0394-00000379	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000380	그러면,	그러면/MAJ + ,/SP
BTHO0394-00000381	어느	어느/MM
BTHO0394-00000382	나라의	나라/NNG + 의/JKG
BTHO0394-00000383	대학이	대학/NNG + 이/JKS
BTHO0394-00000384	가장	가장/MAG
BTHO0394-00000385	경쟁력이	경쟁력/NNG + 이/JKS
BTHO0394-00000386	있을까?	있/VV + 을까/EF + ?/SF
</p>
<p>
BTHO0394-00000387	전	전/MM
BTHO0394-00000388	세계적으로	세계/NNG + 적/XSN + 으로/JKB
BTHO0394-00000389	가장	가장/MAG
BTHO0394-00000390	경쟁력이	경쟁력/NNG + 이/JKS
BTHO0394-00000391	있는	있/VV + 는/ETM
BTHO0394-00000392	대학이	대학/NNG + 이/JKS
BTHO0394-00000393	미국의	미국/NNP + 의/JKG
BTHO0394-00000394	대학이라는	대학/NNG + 이/VCP + 라는/ETM
BTHO0394-00000395	점에	점/NNG + 에/JKB
BTHO0394-00000396	대해서는	대하/VV + 아서/EC + 는/JX
BTHO0394-00000397	크게	크/VA + 게/EC
BTHO0394-00000398	이견이	이견/NNG + 이/JKS
BTHO0394-00000399	없을	없/VA + 을/ETM
BTHO0394-00000400	것으로	것/NNB + 으로/JKB
BTHO0394-00000401	생각된다.	생각/NNG + 되/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00000402	현재	현재/MAG
BTHO0394-00000403	세계적으로	세계/NNG + 적/XSN + 으로/JKB
BTHO0394-00000404	과학기술이	과학/NNG + 기술/NNG + 이/JKS
BTHO0394-00000405	가장	가장/MAG
BTHO0394-00000406	앞선	앞서/VV + ᆫ/ETM
BTHO0394-00000407	나라가	나라/NNG + 가/JKS
BTHO0394-00000408	미국이며,	미국/NNP + 이/VCP + 며/EC + ,/SP
BTHO0394-00000409	미국	미국/NNP
BTHO0394-00000410	과학기술의	과학/NNG + 기술/NNG + 의/JKG
BTHO0394-00000411	경쟁력은	경쟁력/NNG + 은/JX
BTHO0394-00000412	대학에서부터	대학/NNG + 에서부터/JKB
BTHO0394-00000413	시작되고	시작/NNG + 되/XSV + 고/EC
BTHO0394-00000414	있기	있/VX + 기/ETN
BTHO0394-00000415	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000416	여기서는	여기/NP + 서/JKB + 는/JX
BTHO0394-00000417	미국의	미국/NNP + 의/JKG
BTHO0394-00000418	연구중심대학이	연구/NNG + 중심/NNG + 대학/NNG + 이/JKS
BTHO0394-00000419	세계적인	세계/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00000420	연구경쟁력을	연구/NNG + 경쟁력/NNG + 을/JKO
BTHO0394-00000421	갖는	갖/VV + 는/ETM
BTHO0394-00000422	경제	경제/NNG
BTHO0394-00000423	사회적	사회/NNG + 적/XSN
BTHO0394-00000424	환경과	환경/NNG + 과/JC
BTHO0394-00000425	그	그/MM
BTHO0394-00000426	구조적	구조/NNG + 적/XSN
BTHO0394-00000427	요인을	요인/NNG + 을/JKO
BTHO0394-00000428	분석하고	분석/NNG + 하/XSV + 고/EC
BTHO0394-00000429	이를	이/NP + 를/JKO
BTHO0394-00000430	통해	통하/VV + 아/EC
BTHO0394-00000431	우리나라의	우리나라/NNG + 의/JKG
BTHO0394-00000432	대학이	대학/NNG + 이/JKS
BTHO0394-00000433	나아갈	나아가/VV + ᆯ/ETM
BTHO0394-00000434	방향을	방향/NNG + 을/JKO
BTHO0394-00000435	모색해	모색/NNG + 하/XSV + 아/EC
BTHO0394-00000436	보고자	보/VX + 고자/EC
BTHO0394-00000437	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00000438	물론	물론/MAG
BTHO0394-00000439	미국이	미국/NNP + 이/JKS
BTHO0394-00000440	갖는	갖/VV + 는/ETM
BTHO0394-00000441	특성을	특성/NNG + 을/JKO
BTHO0394-00000442	우리나라에	우리나라/NNG + 에/JKB
BTHO0394-00000443	그대로	그대로/MAG
BTHO0394-00000444	적용하는	적용/NNG + 하/XSV + 는/ETM
BTHO0394-00000445	것이	것/NNB + 이/JKS
